Class,OSCC,PM,OSCC,Normal,OSCC,OSCC,OSCC,OSCC,PM,Normal,OSCC,OSCC,PM,OSCC,PM,OSCC,Normal,OSCC,OSCC,PM,Normal,OSCC,Normal,PM,OSCC,Normal,PM,OSCC,Normal,OSCC,Normal,PM,OSCC,PM,OSCC,Normal,OSCC,PM,OSCC,Normal,Normal
MB_1,4607766.52132902,7414787.85782069,9628120.90219074,7824878.18152633,1135798.00479167,5837771.76251122,12953790.3205351,13081629.7640954,5491021.80973746,4025478.75711081,12964550.1674043,6833437.77940186,9094335.07268689,5045346.26682481,10437589.6459874,8782954.24658623,7797916.52402147,3581403.93151151,6762237.21607942,15252332.4705431,3539132.2815132,12657150.0503998,7920236.06628562,6867844.56580764,15159539.2657521,15126222.9870645,4416262.184464,9939600.69841929,11455043.7469502,12433381.668787,12977628.1641672,7596023.51934149,7183151.30504721,9800027.80555984,10491179.4508344,9454027.34682504,9054566.19732133,12704073.3245877,2441511.81358744,11322466.0053136,2970068.42568793
MB_2,4081430.3052845,9247972.6502575,6605479.27224266,1211856.61207039,3602347.41108167,7939803.5860371,4444481.09628502,6582823.0992441,9160205.40772952,8264197.0466161,5137959.44883773,10911801.4553006,6890981.54692082,7890049.55002304,7786404.12610093,8764189.35939881,12331652.1588699,5671527.50833941,10008790.2038965,6731582.81268806,8673502.02279052,8686017.14964204,7495774.90065784,6830136.12081761,7066331.68036763,7401268.89655766,8541668.47924203,4536213.2096297,5308899.78404071,11667448.4522355,7304780.73523091,5282380.877502,8212390.56387663,13680301.6230543,8016756.44198194,10140499.5253732,2878774.15241402,8990933.31476073,15246326.992798,9548978.52828787,10117676.6237927
MB_3,20448930.6458111,40241265.9027892,18488378.3858887,19440158.4100042,24289212.795935,68038156.6156608,46533891.7837349,8549495.68367585,49870730.8163239,14514750.1318302,10362361.8473223,15675130.6972813,34773939.5003875,43542036.7765743,14108933.5710641,19533291.4628605,12078121.3968469,24201413.6123221,10782995.2782339,17596217.3239727,9280743.27151993,23535708.8833952,32689101.6514736,8572283.05397027,16676174.8277935,25309108.0715356,8539446.46933456,32401978.4692019,42419135.7879714,17255850.6257751,8406171.43123204,16033930.1903418,8739610.3960538,10942511.0176567,9678319.7554487,101319627.120413,23529366.6283316,36610574.8140858,10974900.3175162,30340771.0563243,14018424.6274914
MB_4,7130075.06314114,3149666.52952047,5370520.35593871,10151942.2280642,9179114.67587647,10656050.5649131,10483043.3953298,14937947.3777547,7790607.54636811,10123348.4599843,12882586.8623589,12165117.9114225,7551077.30903148,9921419.79357404,8537174.97254024,13586179.8218264,16729652.9565218,13558846.3578242,11904170.0055575,10766929.4026154,10999519.8093706,12399201.1625643,16642684.5205874,1558840.05193012,13436791.1388025,9372539.55624567,8635636.76917417,9461242.81015909,4313739.24743206,3942854.31760038,4506829.94829906,18538692.5048469,8593382.3892424,17440733.8869736,8400252.80141606,11430792.7302812,13575506.4622895,16316839.852839,1167924.29527538,14679321.3100799,3864123.12350354
MB_5,15487872.2895051,10818910.9414147,2395967.97735396,5150316.52933176,6191025.01296587,6421967.65969367,10099967.4519894,6138653.78633132,9396849.08483046,692951.938029953,7064505.50738124,3597893.47046342,2296907.00013349,7530079.20693879,6899940.74563973,3884522.48917338,2490735.49544593,12730912.5334423,12797315.5326469,8191531.20666273,4127764.53149442,10795415.6293369,5596084.92374382,5483281.42276963,7337199.53711951,3605299.46934321,7043267.87941869,11241729.7718388,7270087.50340964,14724690.4820569,3859580.82876633,7718826.15997199,8819380.44275374,10514955.0334673,8093862.136422,4910611.709647,7789008.9207257,13159496.7894925,8457480.65151145,12613511.2218216,8075314.37380194
MB_6,34629730.9337324,17689500.9395514,24583214.0418309,15680194.2004007,3226635.32435056,21043288.4633618,22067757.7938013,32840869.0610582,9186172.9123563,36791477.5875796,7213336.64924472,15822395.1115462,11852646.2549477,40854812.0429054,40464297.428053,28479502.4039562,33653335.2657615,34154146.4275892,7702600.04882254,16642920.9074808,21377141.1598992,34605829.4225028,31340758.0737852,35539926.182309,10140884.7489193,19764840.0347027,8969015.75021931,15197705.3661227,35713054.0045773,16357296.4102246,22256263.9490131,18664699.6351388,20233071.4942079,23547373.2912391,32847726.3000041,28866723.1033383,31944810.0683002,20426110.8902767,21700846.5903366,37929743.0492792,29995177.6495228
MB_7,17893770.8709507,17972357.7982109,19393730.6712578,16706508.7564269,12836828.0309992,8876133.82780609,19134605.134732,17026461.2771368,15343515.5279141,12879461.6064217,15409516.262616,31475762.2844638,14168472.5597204,1135509.04061663,13360499.4404827,7980982.50152928,12641859.6166997,12503146.2516254,19209606.8355068,4104506.53866575,6883248.93807009,15661835.2717683,7245261.39016213,2054967.83499114,11746683.4290459,3065772.83305788,10387214.4335058,15141895.1120864,5934816.46481204,8541684.87159776,11070393.5247101,7923758.80369997,8947846.81938098,10886291.8593397,25656065.3109408,7494389.4248032,10864187.2861759,16256968.2116696,13281364.6114318,7314005.83278332,11101703.9241301
MB_8,1891673.84552167,1045107.6857325,1397185.70545178,1235161.5668355,968755.973877975,1063283.37579458,1920138.50720181,1077576.14884502,1517301.471862,995991.469682656,1928255.13552206,1386261.98960941,929560.515855943,1525050.09045665,1280696.37662082,1537997.19656309,1226621.40739891,822652.355079318,940763.693231888,755410.524235265,1966799.60474337,1877159.16773075,1244887.68078312,1420749.37413831,1414099.87564914,1054991.17259166,941436.539578805,1901319.33821943,1692363.1595742,968650.219344713,1306095.83578309,1260399.41547757,1688748.27958618,1875683.46662136,1105916.1504509,1330993.26485324,1388131.38173549,1465272.22496635,446649.36692574,765399.632613349,1528399.88063112
MB_9,6552677.10437454,2125414.19818775,17099270.4649345,10577120.9513912,16181319.782623,11031322.0430788,5595440.94992411,14443968.4608597,12208285.6616677,3862751.82225434,5178496.04454728,10907416.8785099,38921266.4437536,4618234.37540832,21112877.1807299,11865519.2328208,14507440.3319397,6272874.23046624,14511734.1575362,27997331.0414383,14700855.0003598,8537979.24552022,12189110.6594196,96325521.6756913,12287212.8080022,5763262.59979706,23866505.36828,11809155.0558313,6818801.69641982,6619412.50242671,22183170.2071355,50404163.9297929,6570333.6114768,8465510.6326989,6794347.78464431,6916156.35782439,6109015.43358534,10770377.2702821,6340473.68521952,17180553.4440813,19166381.3142014
MB_10,6044773.37757059,9691267.03869611,2442273.88121528,8064911.80201199,11978774.7194426,8362181.41220014,12139401.1912244,4858948.56100939,3707384.74471221,7007731.94337394,11345198.8817409,8728952.76634218,14593820.4780887,7526141.43072545,13496903.0048534,11178800.2933523,8902998.16582288,15410000.265679,8759419.75586303,5374937.57790535,7304746.21652037,9495111.76319613,9284179.48080932,17328148.9770696,14986003.7426737,10589132.7946595,8900900.26627097,10295443.4535617,6705308.41138064,4200396.70617533,15837870.3970636,10674794.5776627,6274561.7566896,4781477.19602923,6426624.07653901,8968877.86014361,7440944.99422547,4102344.09267331,11822156.5846421,10938585.6176234,8920154.46186802
