Class,OSCC,PM,OSCC,Normal,OSCC,OSCC,OSCC,OSCC,PM,Normal,OSCC,OSCC,PM,OSCC,PM,OSCC,Normal,OSCC,OSCC,PM,Normal,OSCC,Normal,PM,OSCC,Normal,PM,OSCC,Normal,OSCC,Normal,PM,OSCC,PM,OSCC,Normal,OSCC,PM,OSCC,Normal,Normal,PM
MB_1,13902280.8031198,26286783.6252243,6672646.46596346,23408169.6170205,27266880.4184738,2390663.94136143,22906877.003764,14673118.2867759,28513248.9631917,38505216.2137407,23130697.8572745,25795966.2990438,20934149.1174278,21551835.916533,29538053.7130925,27367980.8283896,23964953.2266249,15054007.9161035,32033827.4955142,31589244.6816601,38070715.8455167,1433808.73529254,18161419.3771692,8917045.08790734,15516026.6524102,13241515.8197125,20594058.2436793,4499620.28848673,23331590.0798256,41191281.1002512,40803152.6634038,11302465.1890667,40564711.1158611,26008457.854401,84000220.5833058,29248776.6391904,3745692.6003281,46502098.6154517,31635693.4556752,9956775.64064105,16343980.1646403,23345054.2192122
MB_2,14764090.9035951,4062261.36203672,39795085.7701427,4384209.27780667,8915997.04305695,26393287.2365412,9661650.36529064,15009511.3100144,17928321.2744014,24043356.0974678,9286162.99779891,56973606.04318,22959243.8436991,11188879.8764222,31823400.5826656,20948520.8097123,25755316.3680807,26836602.9707145,17141403.5712474,4130938.92444542,15219242.6088685,14905343.7423175,8871346.20588376,2614389.10299708,11795188.6847606,21331973.2357093,31154480.2175882,2326941.41526265,11909367.6569387,32146065.0207279,26338001.8891614,18118271.9848384,25467076.5213628,9042689.76926724,16747297.9407648,10007628.7082126,25966247.5596588,28870874.7515087,17241584.1313371,16424904.1634602,15990018.3048114,24413775.5092145
MB_3,13764747.384423,9848135.3875405,14041084.6592934,9076586.20789492,11924399.3258926,14692322.0177134,10937987.1282257,11145946.8978649,7525072.33754656,9544478.57388804,5373980.32428391,1414192.92763082,5581938.02082809,10435008.9707017,9063435.24271958,14505586.9321134,10683908.3680457,9744289.48254574,5827456.93961633,7175221.88844337,5354517.27199018,5747678.38058566,7365390.15162478,8253703.09124681,14876996.6424952,9359065.78216944,3187453.01382067,3688296.94064098,7971051.63111201,14809389.0027032,8012115.84580277,11944744.1370093,8970173.0838693,4886748.75518209,8838043.20606365,10414297.6726701,11405180.155857,13362941.9505825,5372012.58331668,11823904.3443443,6020969.23865759,10755526.6933948
MB_4,9611855.08691639,11240174.7926886,25795102.0129712,12492203.0238278,30622563.9185712,17258165.8900584,24237417.1686018,20449324.6922947,10899565.3577315,13939596.584297,28077369.8307439,17492601.1222351,13807863.0620665,16190615.3785306,13813436.9171212,17411201.3235683,13506475.7720929,29074586.535688,10640560.4905451,4736839.09398955,5174224.48110346,4969189.85186346,15299543.093347,16166696.8819036,18392280.6579495,21440633.0706055,12650754.437206,15685936.1922695,26887093.1856256,4692362.33437268,22912796.4736566,13910251.4454835,52537124.3679094,8369259.71350499,16135798.1367778,16390649.0944935,4993395.92669946,14675262.931815,25419657.1237084,3712078.20901504,4965607.86456257,15520053.9295928
MB_5,10996685.1988333,23187756.9076334,27585237.5020745,17112025.0362896,13365343.0535245,7902236.99697281,12061853.6198514,10034687.1694765,15667688.6514414,25234803.133804,13773208.4213687,10205277.0254515,9040315.16706909,20125546.8866432,8429246.35938878,25573710.6134213,17033597.6009398,19879748.5794662,13116222.9989004,21557298.3726639,18998015.2070978,11743880.3446507,19934663.7160448,19209076.4077022,11679312.9802781,15010420.1641125,14527869.741554,14255499.535452,7623735.8127465,17818380.3427905,19527951.7794787,11827588.5655277,13349076.0313754,12883778.8191232,16091218.2682993,268840.589326411,28411107.3997345,23357696.6283043,18746770.0554006,32572023.8994558,26586980.632748,13802835.2763624
MB_6,33039278.9699526,53674501.7140965,27234161.9817607,32563461.3011926,111200110.821415,33643479.808144,149992230.705982,104379743.860112,30198132.4217847,31883904.6387729,32340728.337039,201050874.147705,46788835.0539517,16848598.9943731,28601301.5908776,70736705.3897807,48871714.0955906,42633120.8621022,16317124.0525757,32017917.0620806,28763445.7129851,32374714.7297533,15818656.8313297,26220109.4890056,270989601.215736,69797786.576991,16278990.8693839,317731662.349552,124121022.304241,24726619.4993034,22061413.8267394,32083433.2746474,123788923.39515,43468712.8937578,110779385.802305,19108994.0855809,206289507.214399,31631885.4239605,165210387.289066,26757023.8498088,37504091.5079081,49403481.6212553
MB_7,6741045.36434259,4411833.74384464,5889591.46053305,6020395.54009929,4610415.85782323,5357813.87156484,5845228.95338503,7597373.79275534,2585966.21870108,3431243.38685082,4251083.80817008,6911622.17647393,5926511.33003266,4194827.01920537,5938310.01926256,4933591.28817387,5699909.39607782,5611731.01423242,5875440.51152509,5595217.94857324,4859885.78472607,2489445.91466974,4963269.82533401,3184460.10682548,7173620.64007519,3873630.27562357,3323989.69037258,4150960.15872803,4888291.74315185,4105178.22456075,6147757.64056361,5705877.08150732,4692036.39251957,4176342.33112821,5586043.92252792,4042299.95159496,4065827.28468318,5448868.30748578,5828968.70955612,4686641.76538289,3675563.06728927,3196991.56412792
MB_8,2578701.75093585,5816250.85891386,4458982.94419922,7265467.58407338,8754512.33416798,7613797.59178045,7564652.06334845,8568661.13520582,3455664.71925684,7945917.09631577,9176127.95982553,6941764.86344124,6182744.38022046,5996397.39167299,7118349.54381988,5624335.91988808,8305594.55012716,5328073.46628162,8260842.78491958,7034222.67951422,3447372.86569411,7402934.99809734,7512509.50639249,6030572.23791511,5723982.57505803,7203245.08129847,3887943.49389588,7188953.91089163,5217590.18218099,6120480.4149894,4928354.63712502,3614859.57487441,5050645.1583841,4401354.18374316,6124058.01741729,6188766.18700648,4763099.94366035,6699139.97696584,6351558.72203897,5087869.63903963,4276081.57224278,5108483.13384856
MB_9,3686143.68059006,4755365.35571915,8405788.82315526,4717477.33220588,6618072.09608888,4399476.31925427,4442629.89624639,5246586.73219209,6358186.9852734,5143397.04933411,3467717.50361516,6912854.94622297,5275727.31414053,7462506.86665569,4113145.15446928,2150293.05262857,2470699.99125866,1519320.99993872,2667688.37406177,1346111.57657206,3951399.95093297,4360132.7308956,3110268.58892789,3102740.21609077,4394840.26642543,4273381.88271787,3399100.34183698,5574021.23633127,2858058.67964309,7411735.55203204,2607077.25427932,4648211.56397368,4473496.52209158,4650798.83497623,6740969.15423689,3162128.34551338,2135373.69231225,1658360.3539798,2768570.47306316,5762611.79238052,5872438.73232192,4940474.5382497
MB_10,3886363.85085714,2684438.66556424,7116718.72944281,3694866.6759493,6765787.90841043,4293079.62714973,7412305.57330885,6579942.79872001,4670401.38929535,6162188.99092204,3877679.68402556,5709547.59804335,2281243.7130291,3193676.71070048,5278298.59497292,5827665.72246536,6600547.21980947,6388595.79386844,2339723.72393875,4057907.06785904,5066451.89055696,4656530.07558141,3715019.20755538,6265993.09225071,6220832.46761128,5133025.35760026,6942373.56939606,3681204.26887198,5082821.43405356,2615557.53537304,5137546.4718663,2559342.74435754,5076922.11793083,8218195.0570785,6406959.86538832,6526114.1799949,6186426.26667421,2454708.33144209,3876497.5088853,3354093.27082162,5822045.63982048,3835511.37126935
