Class,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,Tumor,NAT,Tumor,Tumor,NAT,NAT
MB_1,4607766.52132902,9628120.90219074,7824878.18152633,1135798.00479167,5837771.76251122,12953790.3205351,13081629.7640954,4025478.75711081,12964550.1674043,6833437.77940186,5045346.26682481,8782954.24658623,7797916.52402147,3581403.93151151,6762237.21607942,3539132.2815132,12657150.0503998,7920236.06628562,15159539.2657521,15126222.9870645,9939600.69841929,11455043.7469502,12433381.668787,12977628.1641672,7183151.30504721,10491179.4508344,9454027.34682504,9054566.19732133,2441511.81358744,11322466.0053136,2970068.42568793
MB_2,4081430.3052845,6605479.27224266,1211856.61207039,3602347.41108167,7939803.5860371,4444481.09628502,6582823.0992441,8264197.0466161,5137959.44883773,10911801.4553006,7890049.55002304,8764189.35939881,12331652.1588699,5671527.50833941,10008790.2038965,8673502.02279052,8686017.14964204,7495774.90065784,7066331.68036763,7401268.89655766,4536213.2096297,5308899.78404071,11667448.4522355,7304780.73523091,8212390.56387663,8016756.44198194,10140499.5253732,2878774.15241402,15246326.992798,9548978.52828787,10117676.6237927
MB_3,20448930.6458111,18488378.3858887,19440158.4100042,24289212.795935,68038156.6156608,46533891.7837349,8549495.68367585,14514750.1318302,10362361.8473223,15675130.6972813,43542036.7765743,19533291.4628605,12078121.3968469,24201413.6123221,10782995.2782339,9280743.27151993,23535708.8833952,32689101.6514736,16676174.8277935,25309108.0715356,32401978.4692019,42419135.7879714,17255850.6257751,8406171.43123204,8739610.3960538,9678319.7554487,101319627.120413,23529366.6283316,10974900.3175162,30340771.0563243,14018424.6274914
MB_4,7130075.06314114,5370520.35593871,10151942.2280642,9179114.67587647,10656050.5649131,10483043.3953298,14937947.3777547,10123348.4599843,12882586.8623589,12165117.9114225,9921419.79357404,13586179.8218264,16729652.9565218,13558846.3578242,11904170.0055575,10999519.8093706,12399201.1625643,16642684.5205874,13436791.1388025,9372539.55624567,9461242.81015909,4313739.24743206,3942854.31760038,4506829.94829906,8593382.3892424,8400252.80141606,11430792.7302812,13575506.4622895,1167924.29527538,14679321.3100799,3864123.12350354
MB_5,15487872.2895051,2395967.97735396,5150316.52933176,6191025.01296587,6421967.65969367,10099967.4519894,6138653.78633132,692951.938029953,7064505.50738124,3597893.47046342,7530079.20693879,3884522.48917338,2490735.49544593,12730912.5334423,12797315.5326469,4127764.53149442,10795415.6293369,5596084.92374382,7337199.53711951,3605299.46934321,11241729.7718388,7270087.50340964,14724690.4820569,3859580.82876633,8819380.44275374,8093862.136422,4910611.709647,7789008.9207257,8457480.65151145,12613511.2218216,8075314.37380194
MB_6,34629730.9337324,24583214.0418309,15680194.2004007,3226635.32435056,21043288.4633618,22067757.7938013,32840869.0610582,36791477.5875796,7213336.64924472,15822395.1115462,40854812.0429054,28479502.4039562,33653335.2657615,34154146.4275892,7702600.04882254,21377141.1598992,34605829.4225028,31340758.0737852,10140884.7489193,19764840.0347027,15197705.3661227,35713054.0045773,16357296.4102246,22256263.9490131,20233071.4942079,32847726.3000041,28866723.1033383,31944810.0683002,21700846.5903366,37929743.0492792,29995177.6495228
MB_7,17893770.8709507,19393730.6712578,16706508.7564269,12836828.0309992,8876133.82780609,19134605.134732,17026461.2771368,12879461.6064217,15409516.262616,31475762.2844638,1135509.04061663,7980982.50152928,12641859.6166997,12503146.2516254,19209606.8355068,6883248.93807009,15661835.2717683,7245261.39016213,11746683.4290459,3065772.83305788,15141895.1120864,5934816.46481204,8541684.87159776,11070393.5247101,8947846.81938098,25656065.3109408,7494389.4248032,10864187.2861759,13281364.6114318,7314005.83278332,11101703.9241301
MB_8,1891673.84552167,1397185.70545178,1235161.5668355,968755.973877975,1063283.37579458,1920138.50720181,1077576.14884502,995991.469682656,1928255.13552206,1386261.98960941,1525050.09045665,1537997.19656309,1226621.40739891,822652.355079318,940763.693231888,1966799.60474337,1877159.16773075,1244887.68078312,1414099.87564914,1054991.17259166,1901319.33821943,1692363.1595742,968650.219344713,1306095.83578309,1688748.27958618,1105916.1504509,1330993.26485324,1388131.38173549,446649.36692574,765399.632613349,1528399.88063112
MB_9,6552677.10437454,17099270.4649345,10577120.9513912,16181319.782623,11031322.0430788,5595440.94992411,14443968.4608597,3862751.82225434,5178496.04454728,10907416.8785099,4618234.37540832,11865519.2328208,14507440.3319397,6272874.23046624,14511734.1575362,14700855.0003598,8537979.24552022,12189110.6594196,12287212.8080022,5763262.59979706,11809155.0558313,6818801.69641982,6619412.50242671,22183170.2071355,6570333.6114768,6794347.78464431,6916156.35782439,6109015.43358534,6340473.68521952,17180553.4440813,19166381.3142014
MB_10,6044773.37757059,2442273.88121528,8064911.80201199,11978774.7194426,8362181.41220014,12139401.1912244,4858948.56100939,7007731.94337394,11345198.8817409,8728952.76634218,7526141.43072545,11178800.2933523,8902998.16582288,15410000.265679,8759419.75586303,7304746.21652037,9495111.76319613,9284179.48080932,14986003.7426737,10589132.7946595,10295443.4535617,6705308.41138064,4200396.70617533,15837870.3970636,6274561.7566896,6426624.07653901,8968877.86014361,7440944.99422547,11822156.5846421,10938585.6176234,8920154.46186802
MB_11,14289104.9019673,43362475.0194459,11494474.3514706,15941079.1529676,27127015.9692592,26370741.758013,18634829.3206127,24117780.4668378,44747220.6384065,40668958.4772586,48668770.1204571,20760815.9449252,34492334.2912771,38291820.8202958,11733998.1207061,31683511.7458061,16580891.8602705,12760449.3674584,16980737.2035947,25590950.6311478,42264991.9253816,29117225.6255841,41338895.7603116,46907316.2624624,17286213.8784532,34817303.998123,31353790.9166018,936621.237411369,18341349.5531928,13462090.3528283,53766517.4038018
MB_12,15969499.6220222,26512545.2132479,19496274.4695231,15899688.9776899,9145267.99795121,30645033.1415195,30884035.356976,1153144.39521038,20539292.4928013,4085480.37625524,25354456.5876967,12079342.9282467,13875341.9574435,24859584.6097124,9049294.11062739,8317626.48111461,22308372.0833147,15207894.2211471,11414756.3401679,20522367.9080833,18583287.4513433,23597339.5976959,20860429.5231651,24347107.7175156,4912824.85055862,15206481.420546,21252643.0891033,15761017.5596648,10753188.912033,16844327.3056394,14647598.0837551
MB_13,37802064.6444977,37370262.4888607,23186562.190434,27528047.8323197,40890191.8781645,33778534.3820135,141324617.60907,47884824.1916183,69534706.9669759,106087147.20979,11795534.6329203,43827085.011766,55779544.096477,36841434.3774699,33689103.157933,101995392.547495,66969719.4841118,44024886.2963069,113836307.965867,60173494.4841214,59957129.6100212,13107156.4115786,124712549.723937,3885745.82631533,17430670.4710939,73343677.1800633,47804317.0745521,85411426.3250718,32481718.6122754,95865117.1475504,74576319.8112632
MB_14,7166948.46672563,8247014.70388826,7381577.9282064,7841195.03390474,3017251.76544947,10494442.314862,6183019.6897391,6011066.70823091,8550305.68411088,5196253.17631075,6164142.67465352,10575273.4830178,8212444.31322446,9943717.63511612,7944321.52493728,9896759.83328449,4974017.93236567,7270361.00903508,7549611.15554212,9846510.69497911,4465467.43077353,12480089.2411496,10816033.0377262,4867215.00066412,4736057.05276381,7739540.33416033,121193.112333601,8541039.968849,7259926.59095549,14197864.3664541,4872334.50002083
