Class,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,Tumor,NAT,Tumor,Tumor,NAT,NAT
MB_1,13902280.8031198,6672646.46596346,23408169.6170205,27266880.4184738,2390663.94136143,22906877.003764,14673118.2867759,38505216.2137407,23130697.8572745,25795966.2990438,21551835.916533,27367980.8283896,23964953.2266249,15054007.9161035,32033827.4955142,38070715.8455167,1433808.73529254,18161419.3771692,15516026.6524102,13241515.8197125,4499620.28848673,23331590.0798256,41191281.1002512,40803152.6634038,40564711.1158611,84000220.5833058,29248776.6391904,3745692.6003281,31635693.4556752,9956775.64064105,16343980.1646403
MB_2,14764090.9035951,39795085.7701427,4384209.27780667,8915997.04305695,26393287.2365412,9661650.36529064,15009511.3100144,24043356.0974678,9286162.99779891,56973606.04318,11188879.8764222,20948520.8097123,25755316.3680807,26836602.9707145,17141403.5712474,15219242.6088685,14905343.7423175,8871346.20588376,11795188.6847606,21331973.2357093,2326941.41526265,11909367.6569387,32146065.0207279,26338001.8891614,25467076.5213628,16747297.9407648,10007628.7082126,25966247.5596588,17241584.1313371,16424904.1634602,15990018.3048114
MB_3,13764747.384423,14041084.6592934,9076586.20789492,11924399.3258926,14692322.0177134,10937987.1282257,11145946.8978649,9544478.57388804,5373980.32428391,1414192.92763082,10435008.9707017,14505586.9321134,10683908.3680457,9744289.48254574,5827456.93961633,5354517.27199018,5747678.38058566,7365390.15162478,14876996.6424952,9359065.78216944,3688296.94064098,7971051.63111201,14809389.0027032,8012115.84580277,8970173.0838693,8838043.20606365,10414297.6726701,11405180.155857,5372012.58331668,11823904.3443443,6020969.23865759
MB_4,9611855.08691639,25795102.0129712,12492203.0238278,30622563.9185712,17258165.8900584,24237417.1686018,20449324.6922947,13939596.584297,28077369.8307439,17492601.1222351,16190615.3785306,17411201.3235683,13506475.7720929,29074586.535688,10640560.4905451,5174224.48110346,4969189.85186346,15299543.093347,18392280.6579495,21440633.0706055,15685936.1922695,26887093.1856256,4692362.33437268,22912796.4736566,52537124.3679094,16135798.1367778,16390649.0944935,4993395.92669946,25419657.1237084,3712078.20901504,4965607.86456257
MB_5,10996685.1988333,27585237.5020745,17112025.0362896,13365343.0535245,7902236.99697281,12061853.6198514,10034687.1694765,25234803.133804,13773208.4213687,10205277.0254515,20125546.8866432,25573710.6134213,17033597.6009398,19879748.5794662,13116222.9989004,18998015.2070978,11743880.3446507,19934663.7160448,11679312.9802781,15010420.1641125,14255499.535452,7623735.8127465,17818380.3427905,19527951.7794787,13349076.0313754,16091218.2682993,268840.589326411,28411107.3997345,18746770.0554006,32572023.8994558,26586980.632748
MB_6,33039278.9699526,27234161.9817607,32563461.3011926,111200110.821415,33643479.808144,149992230.705982,104379743.860112,31883904.6387729,32340728.337039,201050874.147705,16848598.9943731,70736705.3897807,48871714.0955906,42633120.8621022,16317124.0525757,28763445.7129851,32374714.7297533,15818656.8313297,270989601.215736,69797786.576991,317731662.349552,124121022.304241,24726619.4993034,22061413.8267394,123788923.39515,110779385.802305,19108994.0855809,206289507.214399,165210387.289066,26757023.8498088,37504091.5079081
MB_7,6741045.36434259,5889591.46053305,6020395.54009929,4610415.85782323,5357813.87156484,5845228.95338503,7597373.79275534,3431243.38685082,4251083.80817008,6911622.17647393,4194827.01920537,4933591.28817387,5699909.39607782,5611731.01423242,5875440.51152509,4859885.78472607,2489445.91466974,4963269.82533401,7173620.64007519,3873630.27562357,4150960.15872803,4888291.74315185,4105178.22456075,6147757.64056361,4692036.39251957,5586043.92252792,4042299.95159496,4065827.28468318,5828968.70955612,4686641.76538289,3675563.06728927
MB_8,2578701.75093585,4458982.94419922,7265467.58407338,8754512.33416798,7613797.59178045,7564652.06334845,8568661.13520582,7945917.09631577,9176127.95982553,6941764.86344124,5996397.39167299,5624335.91988808,8305594.55012716,5328073.46628162,8260842.78491958,3447372.86569411,7402934.99809734,7512509.50639249,5723982.57505803,7203245.08129847,7188953.91089163,5217590.18218099,6120480.4149894,4928354.63712502,5050645.1583841,6124058.01741729,6188766.18700648,4763099.94366035,6351558.72203897,5087869.63903963,4276081.57224278
MB_9,3686143.68059006,8405788.82315526,4717477.33220588,6618072.09608888,4399476.31925427,4442629.89624639,5246586.73219209,5143397.04933411,3467717.50361516,6912854.94622297,7462506.86665569,2150293.05262857,2470699.99125866,1519320.99993872,2667688.37406177,3951399.95093297,4360132.7308956,3110268.58892789,4394840.26642543,4273381.88271787,5574021.23633127,2858058.67964309,7411735.55203204,2607077.25427932,4473496.52209158,6740969.15423689,3162128.34551338,2135373.69231225,2768570.47306316,5762611.79238052,5872438.73232192
MB_10,3886363.85085714,7116718.72944281,3694866.6759493,6765787.90841043,4293079.62714973,7412305.57330885,6579942.79872001,6162188.99092204,3877679.68402556,5709547.59804335,3193676.71070048,5827665.72246536,6600547.21980947,6388595.79386844,2339723.72393875,5066451.89055696,4656530.07558141,3715019.20755538,6220832.46761128,5133025.35760026,3681204.26887198,5082821.43405356,2615557.53537304,5137546.4718663,5076922.11793083,6406959.86538832,6526114.1799949,6186426.26667421,3876497.5088853,3354093.27082162,5822045.63982048
