"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"MB_540",15.632,21.022,20.271,19.506,18.322,17.947,17.737,17.559
"MB_1376",14.453,10.652,10.682,10.27,9.6553,10.031,9.9656,9.8699
"MB_671",12.788,9.8923,9.364,8.9873,8.601,8.4936,8.4765,8.3951
"MB_1067",9.8284,8.3233,7.8968,7.5816,7.152,7.0057,6.9839,6.9437
"MB_355",9.6101,7.8293,7.6159,7.337,6.8972,7.0765,6.9702,6.9079
"MB_1074",8.9158,6.5802,6.5792,6.3544,5.9668,6.1961,6.1154,6.0558
"MB_607",7.9262,7.5224,7.5054,7.2354,7.5614,7.4152,7.3033,7.2544
"MB_17",6.9138,5.2346,4.9534,4.7872,4.5911,4.4931,4.4286,4.4073
"MB_553",6.7037,5.7175,5.7663,5.5727,5.2567,5.1444,5.148,5.0968
"MB_450",6.4983,6.9025,6.6709,6.455,6.6573,6.5726,6.4737,6.4165
"MB_1268",5.5652,6.3581,6.2792,6.0426,5.6813,6.2047,6.1364,6.4895
"MB_427",5.1431,8.5089,8.0797,7.7645,8.1906,8.0178,8.1205,8.1267
"MB_1372",5.0925,3.7755,3.6164,3.4934,3.3182,3.3511,3.3178,3.2928
"MB_668",5.0534,7.1312,6.8982,6.8077,6.6091,6.4777,6.4863,6.4453
"MB_646",3.8244,6.6221,9.2645,10.797,10.684,10.533,10.404,10.312
"MB_428",3.7658,4.8419,4.7169,4.7376,4.4826,4.3967,4.3938,4.3523
"MB_548",3.6401,2.7034,2.5601,2.4569,2.3165,2.4501,2.5065,2.4843
"MB_984",3.5595,2.893,2.7382,2.6734,2.7608,3.1516,3.1429,3.1115
"MB_456",3.4653,2.9793,3.0991,3.4625,3.4108,3.3453,3.2961,3.2736
"MB_16",3.295,2.5309,2.4362,2.5651,2.4115,2.3667,2.3345,2.3902
"MB_628",2.8191,2.2354,2.1509,2.2122,2.1387,2.1827,2.1931,2.2936
"MB_501",2.5378,2.5309,2.409,2.3306,2.2081,2.1642,2.3444,2.3702
"MB_605",2.2713,1.6765,2.0584,2.7287,2.5725,2.6264,2.5952,2.6381
"MB_34",2.2268,2.561,3.6284,4.2137,9.165,9.2735,9.3248,9.3099
"MB_753",2.0265,1.7225,1.6578,1.6109,1.6725,1.6528,1.6559,1.6483
"MB_630",1.9635,1.617,1.8554,2.0549,2.0372,1.9952,2.0581,2.0381
"MB_94",1.8036,1.3507,1.2808,1.2442,1.1751,1.151,1.1576,1.1711
"MB_121",1.7155,1.6282,1.6358,1.6167,1.5176,1.6322,1.6906,1.6936
"MB_1194",1.6308,1.7528,1.6976,1.7892,1.7935,1.822,1.8889,1.9328
