"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"MB_1241",60.724,41.008,35.946,33.451,32.587,32.041,31.261,30.941
"MB_1207",5.0743,24.384,21.767,20.437,20.158,19.896,19.422,19.257
"MB_1202",3.7387,24.54,21.499,20.013,19.669,19.572,19.099,18.918
"MB_429",3.2675,10.931,13.617,13.101,13.724,13.639,13.752,13.611
"MB_1224",2.5945,9.1784,10.715,10.182,10.136,10.32,10.102,10
"MB_359",1.9284,9.0001,7.955,9.3756,9.4152,9.3069,9.5276,9.4498
"MB_3642",1.8613,4.8563,7.2149,6.8388,6.8613,7.0849,6.9465,6.8853
"MB_1380",1.7907,8.6333,7.5881,7.8304,7.7563,7.6273,7.4807,7.4065
"MB_1602",1.62,6.6004,7.1257,7.0934,6.9478,6.8471,6.6827,6.6399
"MB_1175",1.5536,11.603,15.201,14.347,15.897,15.727,16.214,16.109
"MB_1180",1.0869,4.9989,4.3926,4.0971,3.9916,3.9716,3.8985,3.8758
"MB_2931",0.95747,6.4751,7.1085,11.24,11.064,11.548,12.071,12.033
"MB_694",0.9356,2.1723,4.4282,4.8471,4.7254,4.6502,4.5583,4.5123
"MB_1769",0.8654,6.2239,10.276,11.087,10.818,10.816,10.698,10.73
"MB_1340",0.75133,1.4615,1.423,1.6892,1.6475,1.7835,1.776,1.8965
"MB_2389",0.71478,3.3453,3.1063,2.9008,2.8656,2.9559,2.9965,3.0337
"MB_1206",0.6442,0.70489,3.1904,3.431,3.3999,3.3494,3.2679,3.3716
"MB_1201",0.575,2.4583,5.5548,7.158,6.992,6.9055,6.8129,6.7618
"MB_1849",0.56852,2.9457,3.6315,4.4407,4.394,5.0966,5.9918,7.3927
"MB_484",0.51675,2.4293,2.3033,2.2882,2.2291,2.3225,2.281,2.2728
"MB_1722",0.513,2.7905,2.4566,2.3033,2.2598,2.2238,2.1911,2.2183
"MB_2897",0.4511,3.0044,3.6074,6.3733,6.2194,6.4066,6.7424,6.718
"MB_1188",0.41218,3.2728,3.252,4.0076,4.1071,4.3714,4.3326,4.2908
"MB_3401",0.40866,2.8638,3.1868,4.6419,4.5962,4.8838,4.9922,4.9721
"MB_1326",0.40855,0.851,2.801,3.8125,3.7147,3.787,3.6951,3.6659
"MB_1246",0.40709,2.2891,6.9957,7.0649,7.7804,7.8622,7.8247,7.964
"MB_1753",0.36408,1.0323,11.045,10.29,10.038,9.8817,10.953,10.892
"MB_1569",0.36365,2.3232,2.5496,2.9254,2.8525,2.808,2.7478,2.727
"MB_350",0.35635,2.3253,2.9471,3.0535,2.9762,2.9603,2.9982,3.002
"MB_1187",0.35207,2.1585,1.8942,1.8071,1.8687,1.8379,1.8878,1.879
"MB_540",0.35093,1.0477,0.92463,0.89215,1.0566,1.0443,1.0733,1.0891
"MB_1823",0.34791,2.2171,2.1444,3.0052,2.9735,2.9236,2.9535,2.9841
"MB_1995",0.31589,1.4999,4.8364,4.5749,4.4667,4.4089,4.3654,4.4731
"MB_1781",0.30379,1.9604,2.337,3.6441,3.6281,3.6003,3.713,3.9617
"MB_1277",0.30105,1.9992,2.549,4.1446,4.1758,4.1059,4.0862,4.2371
"MB_3148",0.29256,1.2897,1.7907,2.3262,2.5706,2.7019,2.6563,2.6318
"MB_1720",0.28321,1.0699,3.434,4.3892,4.4684,4.3936,4.2964,4.275
"MB_1611",0.28179,1.3994,1.4753,1.6851,1.6449,1.6455,1.6055,1.5985
"MB_1055",0.27788,3.225,5.2341,6.3491,6.1852,6.0817,6.0872,6.0467
"MB_437",0.27138,1.4439,1.5604,1.7127,1.7191,1.7306,1.719,1.7035
"MB_1965",0.26514,2.1269,2.5341,2.5866,2.5593,2.528,2.5382,2.551
"MB_293",0.26492,2.4337,3.2645,3.1382,3.543,3.5832,3.8872,3.8701
"MB_267",0.2636,0.7138,0.68314,1.6636,1.7237,2.1935,2.3488,2.3364
"MB_1174",0.26302,1.8224,2.0193,2.4793,2.7568,2.7495,2.8735,2.8441
"MB_26",0.26183,0.89463,1.0317,1.1615,1.1493,1.1861,1.192,1.1897
"MB_283",0.25635,1.779,1.6531,1.6252,1.6086,1.5964,1.599,1.9988
"MB_369",0.25555,1.4379,1.8326,2.0831,2.089,2.1042,2.1004,2.1073
"MB_1305",0.25328,1.7433,1.5907,1.5991,1.6403,1.6132,1.6347,1.6188
"MB_1211",0.25108,1.2193,1.6007,1.867,2.2998,3.0503,3.7735,3.8523
"MB_1319",0.24103,1.0868,1.0424,1.0665,1.0394,1.0716,1.0456,1.0405
"MB_1996",0.23798,2.0962,3.2863,3.6227,3.6949,3.7047,3.6195,3.9225
"MB_2645",0.23169,1.7083,2.7432,3.254,3.3713,3.4351,3.5475,3.6089
"MB_1248",0.22531,1.8586,2.4095,2.5977,2.5395,2.5086,2.4925,2.4792
"MB_3631",0.21597,1.0938,1.2129,1.1287,1.1708,1.1684,1.205,1.231
"MB_96",0.21222,1.3904,2.0788,2.4985,2.5246,2.488,2.4885,2.4707
"MB_1834",0.21197,0.87663,1.0007,1.1482,1.1792,1.2413,1.2504,1.2377
"MB_1635",0.19555,1.1025,1.0939,1.1003,1.4879,1.5525,1.7713,2.2224
"MB_1043",0.19256,0.7251,1.5158,1.6277,1.6656,1.6493,1.7299,1.7151
"MB_701",0.18321,0.49144,1.5134,1.7849,1.7396,1.7252,1.6837,1.7195
"MB_3188",0.17998,1.2666,1.1266,1.1228,1.1186,1.1279,1.1459,1.1376
"MB_2210",0.17631,1.243,1.2433,1.1589,1.1292,1.1187,1.1277,1.1293
"MB_1773",0.17342,0.63948,0.69418,0.88429,0.89027,0.88042,0.86749,0.86814
"MB_3039",0.16772,0.92886,0.8325,0.85467,0.85694,0.85454,0.85863,0.86358
"MB_1019",0.1653,1.2198,1.6059,1.9171,1.9616,2.0154,1.995,1.975
"MB_1228",0.16014,1.0279,0.9895,1.0462,1.0381,1.0381,1.0307,1.0392
"MB_776",0.15933,1.3301,2.3529,2.1904,3.0474,3.6431,3.6462,4.6003
"MB_3046",0.15343,1.0259,1.1066,1.8189,1.784,1.8578,1.9273,1.9226
"MB_3337",0.15294,0.45597,0.60582,0.57426,0.61442,0.60412,0.63067,0.63082
"MB_1342",0.14214,0.71535,1.1431,1.3725,1.4092,1.3857,1.4467,1.4637
"MB_95",0.141,0.42037,1.0284,1.2402,1.2653,1.2516,1.324,1.4635
"MB_1024",0.14019,0.9382,1.2185,2.0412,2.0567,2.0223,2.0058,2.082
"MB_3219",0.13897,0.69617,0.63226,1.1761,1.1472,1.146,1.167,1.1874
"MB_1304",0.13877,0.62283,0.76695,0.75735,0.79628,1.0975,1.1821,1.1975
"MB_473",0.12527,0.67888,0.70461,0.79847,1.5899,2.0734,2.2215,2.2056
"MB_568",0.1202,0.95675,0.88187,1.4836,1.4456,1.7776,2.0519,2.0323
"MB_3739",0.11714,0.078166,0.45818,0.42705,0.43694,0.45886,1.0551,1.0945
"MB_2616",0.11445,0.4223,0.37111,0.35949,0.40951,0.55874,0.56788,0.57485
"MB_2333",0.11391,0.58847,0.6285,0.70508,0.71033,0.70642,0.69594,0.68939
"MB_186",0.11225,0.48091,0.46037,0.44738,0.43952,0.4333,0.43718,0.43663
"MB_1680",0.10853,0.61671,0.8525,0.79355,0.77321,0.79844,0.79167,0.79833
"MB_1164",0.10793,0.71415,0.76443,1.1696,1.1548,1.2061,1.2627,1.2593
"MB_2819",0.10765,0.48316,0.53413,0.51088,0.4984,0.4912,0.47951,0.47763
"MB_2052",0.10721,0.20895,0.28882,0.31917,0.33225,0.36582,0.37358,0.36985
"MB_3135",0.10618,0.70383,0.75685,1.1871,1.1711,1.226,1.284,1.2801
"MB_1337",0.10554,0.45605,0.84928,1.6859,1.6424,1.7521,1.801,1.7891
"MB_1243",0.1041,0.51131,0.44792,0.41686,0.41211,0.40676,0.4137,0.40952
"MB_2987",0.10297,1.1569,1.9325,1.8949,1.9128,1.8875,1.8416,1.9655
"MB_43",0.10262,0.4144,0.36303,0.33852,0.33028,0.32615,0.31939,0.31662
"MB_1951",0.10207,0.78352,0.73151,0.85583,0.84073,0.82744,0.81307,0.82866
"MB_511",0.10137,0.57938,0.50783,0.47347,0.48119,0.5165,0.52059,0.60446
"MB_1608",0.1007,1.3818,4.7354,4.444,4.3877,4.364,4.5463,4.5614
"MB_513",0.10069,0.4553,0.74072,1.1717,1.3189,1.5142,1.6764,1.6767
"MB_1887",0.099172,0.58045,0.74717,0.79551,0.81909,0.84903,0.97481,0.98023
"MB_2851",0.099139,0.54157,0.62055,0.86707,0.91764,0.90422,0.88423,0.87818
"MB_1046",0.098353,0.22682,0.71222,1.6739,2.0563,2.0219,2.0412,2.0382
"MB_225",0.096492,1.0588,1.2977,1.3553,1.3389,1.3165,1.2874,1.2973
"MB_180",0.091842,0.3911,0.85779,0.98834,0.98361,0.96766,0.94718,0.95024
"MB_2862",0.091715,0.50016,0.61086,0.85827,0.91914,0.90375,0.9362,0.96999
"MB_1294",0.091567,0.33289,0.32079,0.37119,0.38946,0.40178,0.47873,0.4758
"MB_1923",0.089661,0.66148,0.71898,0.70324,0.78658,0.77491,0.83197,0.8301
"MB_2781",0.088258,0.34289,0.3784,0.95803,1.019,1.1593,1.1381,1.2772
"MB_3706",0.086383,0.5452,0.67806,0.63464,0.61968,0.74847,0.94772,0.95272
"MB_1874",0.085318,0.12997,0.27251,0.25492,0.29213,0.30774,0.35769,0.58278
"MB_1756",0.085066,0.42438,0.59177,0.77496,0.78662,0.77357,0.8091,0.82008
"MB_1336",0.084881,0.62026,0.8832,0.97395,1.0125,1.0066,0.98472,0.98492
"MB_101",0.084042,0.54694,0.60962,0.82832,0.9979,0.98436,1.0045,1.0063
"MB_2053",0.08326,0.39533,0.34727,0.32567,0.35333,0.35386,0.35731,0.35588
"MB_1474",0.08226,0.85671,1.9088,3.479,3.5438,3.5616,3.5056,3.4702
"MB_3540",0.0819,0.20162,0.34267,0.32463,0.33978,0.33408,0.33596,0.33265
"MB_1863",0.08141,0.24378,0.4299,0.44318,0.46384,0.46366,0.6517,0.65014
"MB_2302",0.081373,0.59691,0.86258,0.89764,0.8745,0.8987,0.94991,0.94406
"MB_1791",0.081346,0.35982,0.66891,0.66592,0.68199,0.77885,0.87921,0.8736
"MB_1048",0.081307,0.15601,0.51471,2.2191,2.5609,2.5639,2.6115,2.6145
"MB_1393",0.080538,0.33365,0.55555,0.73974,0.87888,0.93003,1.0015,1.0359
"MB_3269",0.080239,0.93625,1.006,0.96857,1.0029,1.0855,1.1478,1.1898
"MB_2232",0.080149,0.55017,0.62249,0.77168,0.80588,0.89498,0.95657,0.97268
"MB_442",0.079746,0.12977,0.57556,1.4523,1.462,1.4431,1.4595,1.496
"MB_1166",0.078709,0.52741,0.57071,0.91763,0.90515,0.94835,0.99686,0.99323
"MB_2340",0.078607,0.52437,0.9173,1.1036,1.0936,1.1118,1.1109,1.1319
"MB_295",0.077825,0.99698,1.1575,1.8692,1.8349,1.8506,2.0126,1.9954
"MB_3400",0.076198,0.36148,0.32485,0.34692,0.34753,0.3538,0.35509,0.36035
"MB_1552",0.075932,0.52186,0.72928,0.76497,0.88873,0.90814,0.90843,0.91593
"MB_1994",0.075664,0.33607,0.37525,0.36452,0.35689,0.35642,0.34811,0.3459
"MB_565",0.075502,0.44108,0.70621,0.74861,0.76381,0.75126,0.75003,0.77307
"MB_782",0.075458,0.49213,0.53599,0.72054,0.7302,0.81326,0.81568,0.81302
"MB_1930",0.073961,0.33444,0.46846,0.522,0.52716,0.51833,0.56478,0.5801
"MB_1772",0.073937,0.41466,0.36441,0.34394,0.35336,0.34792,0.35058,0.34813
"MB_1181",0.073755,0.43955,0.48171,0.46367,0.54573,0.68892,0.82717,0.85614
"MB_1952",0.073388,0.29374,0.30402,0.28471,0.29194,0.28781,0.2975,0.30238
"MB_2988",0.071832,0.53459,0.47483,0.66455,0.71994,0.78507,0.83266,0.83578
"MB_2115",0.071424,0.35197,0.31926,0.36381,0.35745,0.382,0.37696,0.37975
"MB_931",0.069088,0.22309,0.26673,0.67898,0.66992,0.69275,0.74176,0.76107
"MB_1165",0.06862,0.45461,0.49496,0.75259,0.74094,0.78114,0.80199,0.80129
"MB_120",0.068542,0.21299,0.51567,0.82812,0.80677,0.79333,0.80773,0.79988
"MB_846",0.067029,0.43788,0.47747,0.63764,0.63425,0.68395,0.68795,0.68865
"MB_324",0.066749,0.85554,1.674,2.803,3.2663,3.58,3.9315,4.0878
"MB_3049",0.066673,0.52217,0.54288,0.63421,0.64834,0.63747,0.62356,0.61877
"MB_311",0.064459,0.22344,0.24753,0.23079,0.28313,0.38144,0.41679,0.49514
"MB_564",0.064254,0.27005,0.26873,0.37709,0.36815,0.40326,0.39977,0.4039
"MB_1244",0.063943,0.41991,0.4463,0.57521,0.65606,0.66189,0.65169,0.64918
"MB_2454",0.063351,0.16798,0.1735,0.18347,0.17879,0.19656,0.1939,0.20332
"MB_1190",0.062589,0.19078,0.26397,0.33498,0.34319,0.34302,0.34,0.34233
"MB_3437",0.062373,0.60435,0.62945,0.81542,0.84386,0.84656,0.8543,0.84556
"MB_1049",0.060999,0.28737,0.498,1.4636,1.7778,1.8488,1.8062,1.7897
"MB_2774",0.060888,0.62191,0.7774,1.1896,1.1987,1.2873,1.275,1.274
"MB_2588",0.06075,0.42723,0.49993,0.71831,0.70705,0.73821,0.80641,0.80128
"MB_2418",0.060489,0.2463,0.32107,0.32114,0.31416,0.31038,0.3034,0.30219
"MB_2979",0.060402,0.16976,0.3588,0.33442,0.3482,0.35393,0.34707,0.34366
"MB_3180",0.060039,0.24319,0.49592,0.48087,0.46922,0.46179,0.45202,0.45633
"MB_3051",0.058009,0.46053,0.73323,0.86543,0.86115,0.86303,0.85057,0.84607
"MB_3344",0.057641,0.12693,0.54373,0.63892,0.63785,0.64323,0.64636,0.64733
"MB_1422",0.056713,0.42101,0.55067,0.55493,0.54076,0.55077,0.55404,0.54907
"MB_2388",0.055404,0.76436,1.0693,1.0633,1.0865,1.0707,1.0898,1.1031
"MB_2822",0.055293,0.26829,0.30968,0.29685,0.29173,0.28792,0.28102,0.28652
"MB_630",0.055171,0.42599,0.48062,0.53236,0.51927,0.55835,0.55456,0.57645
"MB_2105",0.055054,0.22545,0.22631,0.24163,0.27652,0.282,0.33448,0.33296
"MB_1886",0.054993,0.37356,0.85753,1.0108,1.1811,1.4377,1.4615,1.5397
"MB_1870",0.05428,0.38473,0.36311,0.35758,0.37509,0.39458,0.38626,0.39263
"MB_448",0.053675,0.29519,0.2723,0.37744,0.36777,0.37032,0.36145,0.36861
"MB_1755",0.053606,0.089003,0.31255,0.36868,0.36136,0.35653,0.34896,0.34614
"MB_343",0.053404,0.44317,0.48799,1.4745,1.8987,1.9041,2.0739,2.0578
"MB_2361",0.053297,0.19919,0.18063,0.17616,0.17163,0.16912,0.16547,0.16378
"MB_1664",0.052419,0.46431,0.49039,0.56394,0.61216,0.63265,0.65514,0.69421
"MB_1748",0.052331,0.24884,0.25577,0.23817,0.23206,0.23744,0.23192,0.23032
"MB_2757",0.051895,0.28761,0.34793,0.45275,0.44134,0.43894,0.43388,0.44349
"MB_1587",0.051581,0.34956,0.36739,0.57254,0.56598,0.59035,0.62862,0.62603
"MB_3123",0.051391,0.26058,0.49764,0.85764,0.98022,1.1321,1.1366,1.141
"MB_2567",0.051337,0.54709,0.89658,0.96792,1.0349,1.1459,1.1745,1.2181
"MB_2919",0.051082,0.25748,0.27209,0.25518,0.24894,0.24648,0.24222,0.24284
"MB_1609",0.050815,0.3566,0.34427,0.35521,0.36805,0.38564,0.38434,0.39145
"MB_1379",0.050582,0.27955,0.79076,1.5463,1.5996,1.6737,1.7217,1.8033
"MB_2431",0.050384,0.17299,0.15163,0.40418,0.61473,0.69644,0.7529,0.79792
"MB_3483",0.050288,0.50011,0.62686,0.67229,0.65674,0.64572,0.63563,0.63602
"MB_333",0.050115,0.27278,0.23992,0.23303,0.23038,0.2266,0.22566,0.23135
"MB_27",0.049507,0.4323,0.63711,0.76555,0.75199,0.76609,0.77492,0.77304
"MB_81",0.0493,0.34907,0.46271,0.48523,0.47291,0.51516,0.57729,0.57321
"MB_2780",0.048727,0.53401,0.51889,0.49138,0.48001,0.61704,0.69062,0.80988
"MB_2896",0.048418,0.38046,0.34143,1.4655,1.5936,1.6161,1.6077,1.594
"MB_1724",0.047979,0.32116,0.49518,0.52822,0.5202,0.51285,0.50143,0.49733
"MB_620",0.047018,0.17611,0.18567,0.21197,0.20754,0.21143,0.21026,0.20928
"MB_2136",0.046128,0.035807,0.078873,0.28147,0.27676,0.28764,0.4028,0.60178
"MB_1987",0.04601,0.54498,0.77125,0.9649,0.96235,0.94955,0.93669,1.0882
"MB_2016",0.045633,0.12122,0.21033,0.21792,0.24063,0.26951,0.26315,0.26261
"MB_1497",0.045451,0.20384,0.17894,0.16766,0.16788,0.16782,0.17415,0.17473
"MB_247",0.045174,0.30858,0.46915,0.51074,0.50954,0.53884,0.52697,0.56639
"MB_2863",0.045092,0.31657,0.33969,0.35892,0.44333,0.43916,0.43976,0.4383
"MB_93",0.044695,0.31567,0.33196,0.55552,0.54853,0.58062,0.59606,0.5941
"MB_2259",0.044619,0.37681,0.4201,0.40979,0.40256,0.39589,0.38894,0.39071
"MB_2005",0.043503,0.24023,0.38699,0.3654,0.462,0.61671,0.6993,0.69279
"MB_1984",0.043018,0.42191,0.48298,0.56564,0.55553,0.54643,0.76282,0.80104
"MB_2651",0.042666,0.15306,0.14669,0.13923,0.14316,0.14856,0.15093,0.14962
"MB_1492",0.042268,0.38541,0.60801,0.61327,0.61522,0.60502,0.6115,0.62134
"MB_201",0.042175,0.33213,0.52201,0.51418,0.5059,0.51333,0.55411,0.55568
"MB_177",0.042128,0.029891,0.18948,0.19941,0.20345,0.20117,0.19941,0.19737
"MB_631",0.042052,0.26699,0.31178,0.30841,0.30253,0.31282,0.36253,0.38169
"MB_1151",0.041909,0.14203,0.16936,0.2724,0.26858,0.39634,0.54105,1.0601
"MB_1469",0.041506,0.19229,0.20396,0.24684,0.25748,0.30229,0.32396,0.32484
"MB_3767",0.041315,0.2386,0.37472,0.35173,0.34265,0.35499,0.46701,0.46768
"MB_1168",0.041296,0.28134,0.29766,0.45671,0.45123,0.46902,0.50204,0.50061
