"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Q03692",5.972,5.4875,5.428,5.334,5.2651,5.2065,5.1793,5.1625
"P19013",5.7933,6.0261,5.9222,5.8483,5.7512,5.6757,5.6408,5.6208
"P08294",5.7093,5.3453,5.2701,5.1773,5.0938,5.0269,5.0006,4.9823
"P51888",5.6919,5.3145,5.2348,5.1422,5.0633,4.9977,4.9711,4.9536
"P20774",5.4162,5.0224,4.954,4.866,4.7954,4.7324,4.7099,4.6921
"P13646",5.1449,5.4516,5.3575,5.3064,5.2151,5.1478,5.1229,5.1036
"O14558",4.991,4.5474,4.4706,4.3986,4.3317,4.2978,4.2713,4.258
"Q9UBG3",4.8442,5.0544,4.9678,4.9153,4.8282,4.765,4.7357,4.7234
"O75339",4.6849,4.3254,4.2509,4.1884,4.1173,4.0634,4.0384,4.0321
"P22105",4.4622,4.1539,4.0871,4.0167,3.95,3.8997,3.8754,3.8609
"Q9UBC9",4.4331,4.8983,4.8311,4.7758,4.6932,4.6598,4.6349,4.6183
"Q9BXN1",4.4087,4.0393,3.9711,3.906,3.843,3.7927,3.7752,3.7618
"P08590",4.3884,4.2498,4.2089,4.1655,4.1025,4.089,4.064,4.0541
"P12883",4.2717,4.2113,4.1789,4.1742,4.1052,4.0885,4.0635,4.0569
"P05976",4.2152,4.1527,4.1695,4.11,4.0392,4.0122,4.0103,3.9957
"Q6UWY5",4.194,3.9442,3.8947,3.8299,3.7774,3.7294,3.7231,3.7122
"P06732",4.093,4.0453,4.0181,3.9757,3.9048,3.8684,3.8456,3.8334
"P24310",4.0533,3.7139,3.6538,3.5914,3.5278,3.4931,3.4791,3.4659
"Q16853",4.0457,3.7062,3.6429,3.5946,3.5298,3.4873,3.4665,3.4585
"P07585",3.9841,3.6489,3.5878,3.5465,3.487,3.447,3.4289,3.4162
"Q9UKX2",3.9652,4.1045,4.1122,4.0613,3.9885,3.9455,3.9251,3.918
"P02144",3.8245,3.6643,3.6192,3.5819,3.5182,3.4891,3.4686,3.4563
"Q07507",3.8144,3.4766,3.4192,3.37,3.3172,3.2736,3.2585,3.2485
"P23946",3.7848,3.5283,3.5023,3.4401,3.3939,3.353,3.3324,3.3324
"P15088",3.6855,3.4357,3.4239,3.3639,3.315,3.2722,3.2518,3.2496
"P27338",3.6796,3.4167,3.3793,3.3238,3.2643,3.2214,3.2013,3.1905
"P07451",3.6275,3.4675,3.421,3.3713,3.3306,3.2879,3.2709,3.2585
"P12235",3.6126,3.4409,3.3866,3.3322,3.2918,3.2559,3.2374,3.2263
"Q9UJC5",3.6009,3.473,3.4162,3.3602,3.3041,3.2689,3.2485,3.2363
"P02511",3.5869,3.3105,3.2766,3.2393,3.1811,3.1394,3.1198,3.1082
"Q96A32",3.5855,3.6393,3.7081,3.6477,3.5825,3.5728,3.5669,3.5651
"P05413",3.5735,3.511,3.4595,3.4097,3.3488,3.3062,3.2864,3.2844
"P11217",3.5113,3.3702,3.3486,3.2919,3.2337,3.1972,3.1813,3.1693
"P10916",3.5005,3.4847,3.4708,3.4505,3.4126,3.4352,3.4264,3.4271
"P00352",3.4976,3.3132,3.2734,3.2181,3.1651,3.1261,3.1082,3.0964
